startup,sector,subsector,city,investor,investmenttype,amountinusd,date
Stout-Winters,AgriTech,AgriTech Services,Noida,"Investor_30, Investor_92, Investor_91",Seed,11077725.77,2003-03-01
"White, Shaw and Ellis",AgriTech,AgriTech Services,Noida,"Investor_94, Investor_87",Pre-Seed,580325.81,2022-09-25
West Group,SaaS,SaaS Services,Hyderabad,Investor_37,Series C,164910.61,2016-02-13
Freeman LLC,FinTech,FinTech Services,Delhi,"Investor_100, Investor_83",Series C,64462.96,2019-12-24
"Patterson, Allison and Evans",AgriTech,AgriTech Services,Delhi,"Investor_76, Investor_63, Investor_10",Seed,1533411.35,2016-07-12
Hall and Sons,E-Commerce,E-Commerce Services,Bengaluru,"Investor_89, Investor_72, Investor_7",Series D+,4494812.99,2003-08-22
"Montoya, Thompson and Parker",CleanTech,CleanTech Services,Pune,"Investor_100, Investor_6, Investor_88",Series A,2113999.34,2015-05-20
Curtis Group,SaaS,SaaS Services,Chennai,"Investor_27, Investor_72, Investor_70",Series C,374631.57,2011-07-20
Mccoy Group,CleanTech,CleanTech Services,Chennai,"Investor_85, Investor_45, Investor_25",Seed,1262325.99,2012-05-13
"Adams, Baker and Allen",E-Commerce,E-Commerce Services,Bengaluru,"Investor_14, Investor_83",Series A,731127.14,2018-04-04
"Richardson, Morris and Miller",HealthTech,HealthTech Services,Gurgaon,"Investor_51, Investor_65, Investor_54",Seed,3302399.79,2018-04-14
Hawkins-Wright,SaaS,SaaS Services,Pune,"Investor_68, Investor_93",Series B,10439011.69,2012-01-18
Acosta Inc,E-Commerce,E-Commerce Services,Pune,"Investor_9, Investor_88",Seed,376147.44,2008-09-12
"Buchanan, Price and Morris",FoodTech,FoodTech Services,Pune,Investor_65,Series B,211397.64,2012-04-23
"Norman, Pearson and Brown",FoodTech,FoodTech Services,Ahmedabad,"Investor_73, Investor_65",Seed,83125.23,2007-01-23
Hall PLC,EdTech,EdTech Services,Pune,"Investor_83, Investor_46, Investor_24",Series C,2884830.77,2003-10-25
Harris-Mcclain,EdTech,EdTech Services,Hyderabad,"Investor_57, Investor_66",Series D+,2007855.96,2016-12-03
Rodriguez Group,FinTech,FinTech Services,Gurgaon,Investor_20,Series C,1792479.4,2008-12-01
"Williams, Clark and Garcia",CleanTech,CleanTech Services,Chennai,"Investor_56, Investor_74",Seed,4816288.56,2009-07-21
Brooks-Pratt,HealthTech,HealthTech Services,Ahmedabad,"Investor_79, Investor_45",Series A,1967823.83,2006-08-17
Turner-Donovan,HealthTech,HealthTech Services,Delhi,"Investor_75, Investor_68, Investor_39",Series A,11084031.9,2019-10-11
"Mcdaniel, Torres and Boone",SaaS,SaaS Services,Hyderabad,"Investor_68, Investor_32, Investor_82",Series D+,2409051.18,2010-10-02
Ellis Group,FoodTech,FoodTech Services,Pune,"Investor_45, Investor_27, Investor_44",Series D+,672875.27,2004-11-20
"James, Pollard and Miller",FinTech,FinTech Services,Pune,"Investor_7, Investor_6, Investor_70",Series D+,20416542.32,2003-07-10
Finley-Wallace,FinTech,FinTech Services,Noida,Investor_87,Series D+,490460.07,2006-07-02
"Stone, Schultz and Velez",CleanTech,CleanTech Services,Chennai,Investor_54,Series C,906275.31,2005-10-14
Collier-Padilla,EdTech,EdTech Services,Pune,Investor_58,Series D+,130029.85,2013-01-08
Velasquez-Williams,E-Commerce,E-Commerce Services,Noida,"Investor_88, Investor_41",Pre-Seed,2533566.04,2021-04-25
Mcdowell Group,Logistics,Logistics Services,Mumbai,"Investor_36, Investor_78, Investor_75",Seed,455700.53,2013-03-16
Smith Ltd,HealthTech,HealthTech Services,Mumbai,"Investor_67, Investor_63, Investor_18",Pre-Seed,491286.46,2010-09-06
Williamson-Osborne,AgriTech,AgriTech Services,Gurgaon,Investor_71,Pre-Seed,4884101.36,2011-08-25
"Pineda, Norton and Olson",E-Commerce,E-Commerce Services,Bengaluru,"Investor_33, Investor_73",Series B,118320.43,2014-06-19
"Drake, Browning and Jones",E-Commerce,E-Commerce Services,Delhi,"Investor_9, Investor_38, Investor_27",Pre-Seed,513617.53,2022-12-16
"Martin, Oconnor and Hayes",FinTech,FinTech Services,Gurgaon,Investor_97,Seed,292582.22,2022-08-14
Castro-Bailey,FoodTech,FoodTech Services,Mumbai,"Investor_70, Investor_34, Investor_94",Series B,13678838.18,2020-10-09
"Conway, Gutierrez and Webster",CleanTech,CleanTech Services,Pune,"Investor_4, Investor_67",Pre-Seed,1099107.92,2019-08-28
White Group,SaaS,SaaS Services,Pune,"Investor_45, Investor_9, Investor_68",Pre-Seed,1203120.4,2007-05-04
"Fry, Burgess and Gregory",SaaS,SaaS Services,Gurgaon,"Investor_21, Investor_12, Investor_55",Series B,4923914.11,2008-10-17
Moreno-Davis,Logistics,Logistics Services,Hyderabad,Investor_77,Seed,525174.4,2016-01-14
Parsons LLC,E-Commerce,E-Commerce Services,Delhi,Investor_82,Seed,2753484.72,2003-02-01
Lin LLC,E-Commerce,E-Commerce Services,Chennai,Investor_56,Series A,5699595.44,2011-10-28
"Hanson, Kennedy and Anthony",Logistics,Logistics Services,Gurgaon,"Investor_90, Investor_92",Series A,27360224.14,2021-07-27
"Barrett, Bond and Brown",EdTech,EdTech Services,Ahmedabad,"Investor_53, Investor_90, Investor_82",Series C,5487757.84,2010-09-01
Hunter LLC,HealthTech,HealthTech Services,Gurgaon,Investor_24,Seed,804278.13,2006-11-13
Barnett-Ferguson,FinTech,FinTech Services,Mumbai,"Investor_44, Investor_93, Investor_29",Series A,358086.53,2018-09-13
"Kennedy, Davis and Martinez",FinTech,FinTech Services,Kolkata,Investor_9,Series C,545191.0,2004-08-26
"Howard, Smith and Walker",E-Commerce,E-Commerce Services,Hyderabad,"Investor_64, Investor_19",Series A,2465996.49,2005-06-14
Ray-Rivera,E-Commerce,E-Commerce Services,Chennai,Investor_86,Seed,734902.6,2019-08-02
Schaefer-Chambers,FinTech,FinTech Services,Kolkata,Investor_31,Series C,235120.51,2012-06-05
Mejia Inc,Logistics,Logistics Services,Gurgaon,"Investor_73, Investor_53, Investor_37",Seed,4981167.46,2016-07-17
Young Ltd,CleanTech,CleanTech Services,Noida,Investor_72,Series D+,9997096.85,2020-01-09
Espinoza-Barber,FoodTech,FoodTech Services,Gurgaon,Investor_71,Series C,2379884.52,2020-08-01
Pena-Garcia,AgriTech,AgriTech Services,Pune,"Investor_78, Investor_25",Series B,888995.01,2008-03-09
Lopez-Sullivan,Logistics,Logistics Services,Pune,Investor_4,Series B,7954694.29,2013-10-27
Hale and Sons,FinTech,FinTech Services,Pune,Investor_97,Series B,1519351.14,2017-11-26
Vargas-Avery,FinTech,FinTech Services,Delhi,"Investor_62, Investor_49, Investor_9",Pre-Seed,2175195.71,2018-12-19
Gray-Bird,FinTech,FinTech Services,Mumbai,"Investor_44, Investor_17",Series C,2457653.56,2004-10-16
"Edwards, Nielsen and Schwartz",CleanTech,CleanTech Services,Delhi,Investor_25,Series A,527552.23,2007-04-23
"Murphy, Guzman and Wright",AgriTech,AgriTech Services,Delhi,"Investor_88, Investor_35",Pre-Seed,5810364.21,2016-10-20
"Williams, Soto and Williams",FinTech,FinTech Services,Delhi,"Investor_34, Investor_67, Investor_59",Series B,191092.48,2007-08-28
White-Ford,E-Commerce,E-Commerce Services,Delhi,"Investor_24, Investor_2",Series A,7877345.44,2014-05-26
Hernandez LLC,Logistics,Logistics Services,Kolkata,"Investor_32, Investor_88",Series D+,105057.07,2004-09-26
Anderson-Davis,FinTech,FinTech Services,Gurgaon,Investor_90,Series C,2161858.75,2021-03-15
Miller Inc,Logistics,Logistics Services,Ahmedabad,Investor_58,Series C,6150030.66,2005-08-21
Herrera-Hansen,SaaS,SaaS Services,Gurgaon,Investor_16,Series D+,281568.41,2011-07-28
Stuart-Scott,SaaS,SaaS Services,Bengaluru,"Investor_26, Investor_50",Series A,318895.33,2005-10-05
Kennedy-Ellison,AgriTech,AgriTech Services,Delhi,Investor_90,Series D+,3636294.6,2015-01-22
Medina PLC,HealthTech,HealthTech Services,Ahmedabad,"Investor_51, Investor_85",Series A,6928382.26,2020-03-02
Franklin-Davis,Logistics,Logistics Services,Bengaluru,"Investor_56, Investor_89, Investor_66",Series D+,21183403.96,2021-08-19
"Glover, Boyd and Malone",FinTech,FinTech Services,Mumbai,"Investor_72, Investor_23, Investor_94",Series B,272543.19,2013-08-09
"Allen, Mcdonald and Chen",CleanTech,CleanTech Services,Kolkata,Investor_48,Series A,1165307.82,2003-11-11
Berry Ltd,FinTech,FinTech Services,Pune,"Investor_1, Investor_17, Investor_47",Series D+,8745268.71,2008-06-14
Reilly PLC,AI/ML,AI/ML Services,Ahmedabad,"Investor_48, Investor_53",Pre-Seed,1971414.49,2006-04-21
"Woodard, Hughes and Grant",Logistics,Logistics Services,Pune,Investor_42,Series A,934713.23,2015-12-16
Rios LLC,E-Commerce,E-Commerce Services,Gurgaon,"Investor_64, Investor_60, Investor_74",Seed,371149.41,2004-10-13
Carpenter-Finley,Logistics,Logistics Services,Ahmedabad,Investor_40,Pre-Seed,88022.8,2012-08-27
Whitehead-Mclaughlin,FinTech,FinTech Services,Bengaluru,Investor_34,Series A,1014921.37,2017-09-23
Huber and Sons,FinTech,FinTech Services,Mumbai,"Investor_47, Investor_66, Investor_83",Series A,606106.21,2005-01-12
"Moses, Jackson and Hess",FoodTech,FoodTech Services,Bengaluru,"Investor_8, Investor_21",Pre-Seed,2881439.46,2015-03-26
Rush-Shields,FoodTech,FoodTech Services,Delhi,"Investor_24, Investor_70, Investor_98",Series A,1266833.93,2011-02-20
Rodriguez Group,CleanTech,CleanTech Services,Hyderabad,"Investor_27, Investor_62",Series B,1723906.09,2008-06-02
Bates Group,E-Commerce,E-Commerce Services,Chennai,"Investor_62, Investor_14, Investor_81",Pre-Seed,107981.49,2008-01-05
Marshall-Morris,FinTech,FinTech Services,Gurgaon,Investor_7,Seed,7654313.24,2016-08-11
Graves-Cuevas,CleanTech,CleanTech Services,Hyderabad,"Investor_77, Investor_78, Investor_42",Series D+,1219931.35,2022-10-02
Stephenson Group,FoodTech,FoodTech Services,Kolkata,Investor_16,Seed,2753838.37,2003-06-09
Murphy Group,EdTech,EdTech Services,Gurgaon,"Investor_47, Investor_88",Series D+,2864331.3,2018-03-07
"Holmes, Alexander and Myers",Logistics,Logistics Services,Gurgaon,"Investor_38, Investor_12, Investor_55",Series B,608098.04,2021-09-07
"Taylor, Mitchell and Whitaker",E-Commerce,E-Commerce Services,Mumbai,"Investor_26, Investor_46",Pre-Seed,265972.65,2007-01-27
"Murphy, Jones and Chen",CleanTech,CleanTech Services,Ahmedabad,"Investor_84, Investor_90",Series D+,923043.24,2021-03-08
"Davila, Dickson and Williams",FoodTech,FoodTech Services,Noida,Investor_23,Series B,3211264.2,2003-12-12
Miller PLC,HealthTech,HealthTech Services,Hyderabad,"Investor_25, Investor_23",Series D+,386928.23,2008-04-19
King-Hernandez,CleanTech,CleanTech Services,Hyderabad,"Investor_69, Investor_8, Investor_57",Series A,2089861.34,2021-01-22
Baker-Moore,FoodTech,FoodTech Services,Hyderabad,"Investor_51, Investor_60, Investor_28",Series A,9508766.18,2011-06-18
Jackson-Williams,AgriTech,AgriTech Services,Kolkata,Investor_19,Series D+,1158580.08,2013-09-07
Martinez-Watkins,FinTech,FinTech Services,Gurgaon,"Investor_2, Investor_57, Investor_22",Seed,5680984.91,2021-06-22
"Juarez, Smith and Dyer",FinTech,FinTech Services,Noida,Investor_74,Seed,939589.59,2010-09-08
Fowler-Gallagher,AgriTech,AgriTech Services,Mumbai,Investor_23,Series D+,1240371.45,2012-10-16
Clark PLC,HealthTech,HealthTech Services,Mumbai,"Investor_23, Investor_22, Investor_63",Series B,684746.55,2022-08-03
Reyes-Richard,HealthTech,HealthTech Services,Mumbai,"Investor_23, Investor_13, Investor_37",Series D+,1378599.4,2012-04-05
"Aguirre, Carter and Murphy",AgriTech,AgriTech Services,Hyderabad,Investor_89,Series C,104801.29,2015-02-23
"Schneider, Jackson and Robertson",FoodTech,FoodTech Services,Mumbai,Investor_100,Series D+,364102.01,2010-03-15
Haley Inc,FoodTech,FoodTech Services,Noida,Investor_68,Series D+,990647.41,2005-06-19
"Armstrong, Mitchell and Marquez",HealthTech,HealthTech Services,Gurgaon,Investor_17,Seed,492632.87,2015-05-09
Ramos Inc,E-Commerce,E-Commerce Services,Chennai,"Investor_49, Investor_84, Investor_34",Series B,286368.85,2018-09-19
"Gonzalez, Franklin and Holmes",E-Commerce,E-Commerce Services,Bengaluru,"Investor_92, Investor_18",Series B,725398.84,2012-12-20
Manning-Ortiz,CleanTech,CleanTech Services,Gurgaon,"Investor_23, Investor_22",Series B,18164989.15,2022-11-28
"Jones, Reynolds and Zimmerman",AI/ML,AI/ML Services,Pune,Investor_99,Pre-Seed,441886.49,2007-12-02
Evans-Fischer,AI/ML,AI/ML Services,Ahmedabad,"Investor_28, Investor_22",Series C,213496.12,2017-06-13
"May, Smith and Parker",Logistics,Logistics Services,Mumbai,Investor_4,Series B,10105338.93,2010-06-24
Miller-Chase,HealthTech,HealthTech Services,Pune,Investor_92,Series B,3644059.4,2010-09-21
"Stewart, Roberson and Romero",FinTech,FinTech Services,Mumbai,Investor_1,Series B,1819400.74,2013-10-25
Foster and Sons,FoodTech,FoodTech Services,Kolkata,"Investor_6, Investor_27",Series C,335180.95,2008-10-27
Garcia-Ballard,FinTech,FinTech Services,Kolkata,"Investor_16, Investor_70",Series A,9446985.24,2015-07-13
"Berry, Jacobs and Cole",Logistics,Logistics Services,Pune,"Investor_11, Investor_100",Series B,115027.11,2014-05-18
Allen-Brewer,AI/ML,AI/ML Services,Kolkata,"Investor_7, Investor_26, Investor_48",Series D+,2280370.11,2012-11-17
Steele Group,AgriTech,AgriTech Services,Kolkata,Investor_99,Series A,576632.03,2013-07-09
Martin-Wagner,HealthTech,HealthTech Services,Chennai,"Investor_43, Investor_33, Investor_44",Seed,283050.74,2008-06-22
Graham Inc,CleanTech,CleanTech Services,Kolkata,"Investor_15, Investor_34",Pre-Seed,501177.2,2005-09-07
Long-Torres,CleanTech,CleanTech Services,Gurgaon,Investor_37,Seed,88537.11,2017-01-17
"Diaz, Adams and Nguyen",AgriTech,AgriTech Services,Chennai,"Investor_4, Investor_86",Series B,223316.13,2016-12-02
"Kelley, Lee and Williams",FinTech,FinTech Services,Bengaluru,"Investor_27, Investor_59, Investor_7",Series D+,1558172.19,2012-02-14
"Burch, Hobbs and Ramirez",HealthTech,HealthTech Services,Hyderabad,Investor_92,Seed,3616361.63,2007-11-01
Williams PLC,EdTech,EdTech Services,Hyderabad,Investor_80,Series A,9710619.78,2015-08-18
Fuller and Sons,SaaS,SaaS Services,Delhi,"Investor_22, Investor_38",Series C,257555.65,2009-02-15
Garcia PLC,CleanTech,CleanTech Services,Mumbai,Investor_28,Series C,843293.45,2017-08-05
Clay-Adkins,AgriTech,AgriTech Services,Noida,Investor_5,Series B,176017.97,2022-06-23
Rice PLC,FinTech,FinTech Services,Kolkata,"Investor_53, Investor_98",Seed,2962898.61,2017-04-17
"Martin, Watson and Owens",EdTech,EdTech Services,Pune,"Investor_96, Investor_58",Pre-Seed,4052348.74,2020-07-26
"Estrada, Neal and Russo",CleanTech,CleanTech Services,Pune,"Investor_82, Investor_36, Investor_20",Series B,694514.37,2020-08-04
"Barnes, Bradley and Flores",E-Commerce,E-Commerce Services,Hyderabad,"Investor_31, Investor_70",Series D+,155928.75,2019-04-10
Phillips-Taylor,AgriTech,AgriTech Services,Delhi,Investor_87,Pre-Seed,59250888.72,2019-03-26
Henderson-Nielsen,Logistics,Logistics Services,Gurgaon,"Investor_23, Investor_95",Series D+,308415.21,2007-02-21
Nelson PLC,Logistics,Logistics Services,Pune,"Investor_58, Investor_2",Series D+,840534.3,2005-03-01
Washington Group,EdTech,EdTech Services,Mumbai,"Investor_60, Investor_34",Series A,16603254.78,2018-01-05
Hunt-Davis,FoodTech,FoodTech Services,Chennai,Investor_83,Series D+,1530006.32,2004-03-13
Taylor LLC,HealthTech,HealthTech Services,Noida,"Investor_80, Investor_16",Series A,55181981.42,2017-06-15
Hernandez-Thornton,EdTech,EdTech Services,Noida,"Investor_3, Investor_42",Series C,2037770.31,2009-05-13
Ellis-Hester,FoodTech,FoodTech Services,Gurgaon,"Investor_49, Investor_13, Investor_87",Series C,1495555.76,2017-05-18
Schmidt LLC,SaaS,SaaS Services,Ahmedabad,Investor_41,Pre-Seed,149844.95,2015-07-06
Ward LLC,EdTech,EdTech Services,Kolkata,Investor_58,Pre-Seed,5764004.99,2010-10-27
Sanchez Ltd,EdTech,EdTech Services,Noida,Investor_82,Series A,709191.12,2003-01-24
Robinson-Frazier,SaaS,SaaS Services,Ahmedabad,"Investor_94, Investor_56",Series C,321396.19,2009-11-10
"Smith, Mendez and Cox",AgriTech,AgriTech Services,Noida,"Investor_85, Investor_68, Investor_73",Series A,213739.67,2009-10-01
Moody Ltd,E-Commerce,E-Commerce Services,Bengaluru,Investor_46,Seed,89784367.64,2004-04-25
Fuller Group,FinTech,FinTech Services,Kolkata,"Investor_8, Investor_32, Investor_99",Pre-Seed,699788.45,2007-06-08
Evans Group,AgriTech,AgriTech Services,Bengaluru,"Investor_9, Investor_70, Investor_52",Series D+,229906.12,2018-06-21
Conner Group,SaaS,SaaS Services,Pune,"Investor_73, Investor_39",Series A,1212266.19,2013-05-26
Ellis-Evans,FinTech,FinTech Services,Pune,"Investor_100, Investor_40",Pre-Seed,51006.06,2011-12-16
"George, Smith and Anderson",AgriTech,AgriTech Services,Hyderabad,Investor_17,Seed,5304826.13,2021-04-20
"Tran, Moore and Gibbs",EdTech,EdTech Services,Mumbai,"Investor_25, Investor_39, Investor_94",Series D+,111921.35,2007-09-11
Huber Inc,CleanTech,CleanTech Services,Delhi,"Investor_85, Investor_82",Pre-Seed,2770345.31,2014-09-16
Hines-Bell,FinTech,FinTech Services,Pune,Investor_22,Seed,22009688.6,2003-07-16
Paul-Fuller,E-Commerce,E-Commerce Services,Chennai,"Investor_12, Investor_1, Investor_37",Series B,19002730.8,2020-03-20
Mcguire Ltd,FoodTech,FoodTech Services,Chennai,"Investor_92, Investor_53, Investor_93",Series B,128416.51,2008-12-02
"Hebert, Holland and Wallace",HealthTech,HealthTech Services,Noida,Investor_8,Series D+,817007.09,2022-03-24
Lawrence Ltd,E-Commerce,E-Commerce Services,Noida,"Investor_50, Investor_65",Series D+,390327.57,2010-01-10
"Howard, Pena and Zuniga",E-Commerce,E-Commerce Services,Mumbai,"Investor_10, Investor_47",Series C,1193535.31,2003-07-11
Meyer-Young,E-Commerce,E-Commerce Services,Hyderabad,"Investor_38, Investor_8",Pre-Seed,3324812.13,2009-10-17
Morales-Howell,FinTech,FinTech Services,Bengaluru,Investor_61,Series C,642126.08,2017-10-25
Whitney-Ross,HealthTech,HealthTech Services,Mumbai,Investor_74,Series A,1164751.58,2015-05-21
Stewart PLC,Logistics,Logistics Services,Gurgaon,Investor_71,Series A,2145024.27,2007-05-03
Butler-Pollard,AgriTech,AgriTech Services,Hyderabad,"Investor_82, Investor_42, Investor_19",Series A,1602738.26,2012-01-28
"Gutierrez, Simmons and Monroe",EdTech,EdTech Services,Gurgaon,Investor_94,Series C,437250.99,2018-09-22
Peterson-Evans,HealthTech,HealthTech Services,Kolkata,Investor_56,Series D+,1376616.66,2007-03-15
"Allen, Torres and Terrell",EdTech,EdTech Services,Hyderabad,"Investor_17, Investor_37",Series B,3299841.59,2019-12-25
"Martinez, Thompson and Taylor",SaaS,SaaS Services,Kolkata,Investor_82,Series C,36179265.46,2007-08-06
"Lewis, Huffman and Webb",CleanTech,CleanTech Services,Gurgaon,Investor_63,Series B,22485206.77,2003-04-12
"Moyer, Johnson and Holloway",CleanTech,CleanTech Services,Kolkata,"Investor_30, Investor_70, Investor_75",Series B,91917.27,2006-11-16
Lopez-Gonzalez,Logistics,Logistics Services,Bengaluru,Investor_53,Series C,98852.25,2013-01-14
Coleman Ltd,CleanTech,CleanTech Services,Delhi,"Investor_19, Investor_20",Series A,1908112.82,2003-02-06
Cook LLC,AI/ML,AI/ML Services,Ahmedabad,"Investor_63, Investor_58",Series B,491535.93,2012-10-21
Roberts and Sons,AI/ML,AI/ML Services,Pune,"Investor_15, Investor_80",Seed,216489.13,2018-08-10
Baker Inc,HealthTech,HealthTech Services,Chennai,"Investor_62, Investor_68",Seed,194201.83,2019-01-21
Davis-Ramos,EdTech,EdTech Services,Hyderabad,"Investor_3, Investor_22",Series B,31514.21,2010-08-24
"Conner, Taylor and Armstrong",CleanTech,CleanTech Services,Mumbai,"Investor_73, Investor_60, Investor_80",Seed,3817637.16,2014-06-11
"Jenkins, Lee and Goodwin",AgriTech,AgriTech Services,Delhi,"Investor_80, Investor_63, Investor_64",Pre-Seed,1790705.67,2012-05-27
"Rose, Wilson and Humphrey",Logistics,Logistics Services,Gurgaon,"Investor_66, Investor_72",Series B,3154154.71,2015-07-14
"Walls, Underwood and Price",E-Commerce,E-Commerce Services,Mumbai,"Investor_1, Investor_27, Investor_11",Series B,103833306.24,2004-09-01
"Sanford, Jensen and Villegas",EdTech,EdTech Services,Hyderabad,Investor_96,Pre-Seed,631973.31,2017-09-08
Williams-Williams,E-Commerce,E-Commerce Services,Chennai,"Investor_92, Investor_50",Pre-Seed,4013082.95,2011-01-04
Guzman Inc,FinTech,FinTech Services,Delhi,"Investor_9, Investor_10, Investor_76",Series A,12740392.14,2004-11-01
Cohen Ltd,AI/ML,AI/ML Services,Pune,Investor_60,Seed,77875.89,2014-12-28
Boyer-Joyce,CleanTech,CleanTech Services,Gurgaon,Investor_12,Pre-Seed,1290141.34,2004-01-19
Johnson and Sons,AI/ML,AI/ML Services,Bengaluru,"Investor_36, Investor_32, Investor_82",Pre-Seed,3266362.19,2013-07-23
Gonzalez Inc,AI/ML,AI/ML Services,Gurgaon,"Investor_45, Investor_96, Investor_14",Series C,346604.25,2014-06-02
"Rodgers, Johnson and Foster",SaaS,SaaS Services,Ahmedabad,Investor_33,Series C,2050596.99,2008-01-09
"Powell, Mcgee and Nichols",Logistics,Logistics Services,Kolkata,"Investor_7, Investor_79",Seed,9350660.96,2007-11-10
Hernandez and Sons,CleanTech,CleanTech Services,Mumbai,"Investor_56, Investor_41, Investor_47",Series D+,2411510.65,2009-07-12
Stephenson-Combs,FoodTech,FoodTech Services,Hyderabad,"Investor_99, Investor_42",Series B,1858197.71,2005-09-05
"Roberts, Lee and Carroll",AgriTech,AgriTech Services,Pune,Investor_84,Pre-Seed,435278.23,2013-08-09
"Bright, Johnson and Chambers",E-Commerce,E-Commerce Services,Mumbai,Investor_43,Series A,249662.43,2011-01-26
Yu Ltd,CleanTech,CleanTech Services,Gurgaon,"Investor_57, Investor_77, Investor_59",Series A,3077240.49,2021-12-12
"Brown, Brown and Nelson",EdTech,EdTech Services,Noida,"Investor_51, Investor_53, Investor_65",Series A,722832.06,2004-08-03
Wilkerson-Ramirez,E-Commerce,E-Commerce Services,Mumbai,Investor_87,Series B,512534.99,2016-08-07
"Owens, Burns and Tucker",HealthTech,HealthTech Services,Noida,"Investor_34, Investor_60, Investor_36",Series D+,2787260.93,2020-02-06
Daniels-Newman,Logistics,Logistics Services,Delhi,"Investor_17, Investor_66",Series C,4225032.46,2004-11-03
White-Soto,SaaS,SaaS Services,Delhi,"Investor_42, Investor_73, Investor_67",Pre-Seed,8836728.15,2005-08-24
Buchanan-Patterson,EdTech,EdTech Services,Kolkata,"Investor_42, Investor_80",Seed,9869311.17,2021-06-22
Macias Group,FoodTech,FoodTech Services,Bengaluru,"Investor_78, Investor_45",Series D+,21205308.94,2004-06-17
Bryant Inc,AgriTech,AgriTech Services,Bengaluru,"Investor_94, Investor_45, Investor_99",Pre-Seed,1584082.38,2011-08-23
Johnson-Zimmerman,HealthTech,HealthTech Services,Delhi,"Investor_12, Investor_70",Seed,309356.63,2022-01-10
Farley-Anderson,E-Commerce,E-Commerce Services,Noida,Investor_46,Series D+,3354671.73,2016-04-13
Freeman and Sons,SaaS,SaaS Services,Pune,"Investor_95, Investor_67, Investor_46",Series C,1115691.17,2021-02-09
Page Inc,AI/ML,AI/ML Services,Gurgaon,"Investor_7, Investor_78",Series C,4772912.27,2006-09-03
"Lewis, Fletcher and Marsh",Logistics,Logistics Services,Delhi,"Investor_86, Investor_98",Series A,584424.61,2014-08-06
Murphy and Sons,SaaS,SaaS Services,Kolkata,"Investor_45, Investor_23, Investor_36",Seed,1382090.39,2007-02-16
"Walker, Rodgers and King",FoodTech,FoodTech Services,Chennai,Investor_82,Series D+,1957388.21,2018-10-24
Howard-Duncan,EdTech,EdTech Services,Kolkata,Investor_45,Seed,189415.62,2006-03-02
Brown PLC,FoodTech,FoodTech Services,Ahmedabad,Investor_31,Series A,27241855.21,2007-10-18
Li PLC,EdTech,EdTech Services,Mumbai,"Investor_15, Investor_89",Series A,5753074.96,2020-03-26
Parsons Inc,EdTech,EdTech Services,Mumbai,"Investor_24, Investor_35",Series D+,858909.03,2015-02-22
"Jackson, Peters and Hanson",AgriTech,AgriTech Services,Chennai,Investor_21,Series D+,313515.21,2022-07-07
"Hickman, West and Long",SaaS,SaaS Services,Ahmedabad,Investor_7,Pre-Seed,357931.8,2005-10-28
Leonard Inc,E-Commerce,E-Commerce Services,Bengaluru,"Investor_61, Investor_41, Investor_13",Series B,478408.11,2009-05-01
"Anderson, Ross and Dyer",CleanTech,CleanTech Services,Kolkata,"Investor_62, Investor_47",Pre-Seed,226335.85,2017-09-06
Love-Johnson,E-Commerce,E-Commerce Services,Mumbai,"Investor_97, Investor_24",Series A,154201.83,2003-12-19
Jordan PLC,SaaS,SaaS Services,Hyderabad,"Investor_55, Investor_5",Pre-Seed,45038043.36,2003-08-16
"Smith, Hartman and Glass",EdTech,EdTech Services,Bengaluru,Investor_13,Series A,4742256.0,2019-12-16
Armstrong-Wilson,SaaS,SaaS Services,Pune,Investor_95,Series A,4188170.19,2008-11-09
"Hood, Hamilton and Craig",FinTech,FinTech Services,Mumbai,"Investor_31, Investor_13, Investor_49",Series C,94647.17,2016-07-18
Whitaker LLC,AI/ML,AI/ML Services,Chennai,"Investor_5, Investor_18, Investor_51",Series C,112081.11,2013-01-25
"Powell, Gonzalez and Wilson",HealthTech,HealthTech Services,Bengaluru,"Investor_85, Investor_30",Series D+,12782909.9,2022-03-03
Bell Group,AI/ML,AI/ML Services,Noida,"Investor_37, Investor_28",Series A,338554.29,2003-12-17
Richardson-Sanders,CleanTech,CleanTech Services,Bengaluru,Investor_14,Series C,10430948.38,2013-11-07
Hall LLC,FoodTech,FoodTech Services,Noida,"Investor_85, Investor_83",Series C,592017.41,2014-01-20
Smith and Sons,EdTech,EdTech Services,Noida,Investor_99,Series A,7953840.84,2011-08-13
Brown LLC,Logistics,Logistics Services,Mumbai,Investor_94,Pre-Seed,4965087.58,2006-01-24
Anderson-Lopez,AgriTech,AgriTech Services,Kolkata,"Investor_42, Investor_77",Series B,2632520.15,2003-05-08
Rodriguez and Sons,EdTech,EdTech Services,Hyderabad,Investor_51,Series A,10447567.74,2022-10-27
Tran-Hill,AgriTech,AgriTech Services,Kolkata,"Investor_11, Investor_38, Investor_13",Series B,205449.07,2018-03-22
"Curry, Smith and Fox",AI/ML,AI/ML Services,Hyderabad,"Investor_40, Investor_74",Series C,4639975.78,2005-09-13
Berry-Barajas,FinTech,FinTech Services,Noida,Investor_16,Series A,981847.6,2003-04-23
Hayes Ltd,FoodTech,FoodTech Services,Kolkata,"Investor_49, Investor_80",Series A,1953247.15,2010-05-15
"Ramirez, Scott and Wood",FinTech,FinTech Services,Kolkata,"Investor_13, Investor_60",Seed,2935251.49,2008-07-12
